semantic derivation,domain,semantics,PA_root,PIE,IE_cognates,translation,luw,hitt,pal,lyd,lyc_A,lyc_B,pis,sid,car,comments
a ball (made from a cut-off piece?) → a scarecrow → to be afraid — development within the Hittite language,fear,"fear, tremble",PHitt. ku̯er-/kur 'cut' (Hitt.) OR onomatopeia with reduplication,,The similar metaphor: Arm.kosfkocjel- 'smash',to scare,,kurkuriye-,,,,,,,,"Puhvel (269): Giiterbock (Documentum Otten 115-9J established kurkuriya- as a verbum dicendi (or at least exprimendi), freeing it from erroneous root-derivation from kuer- 'cut' and a habitual rendering as 'mutilate'; his meaning 'intimidation' is cogent, although he did not derive it from kurkura- (leaving the latter [possibly as 'clew'] apart and unintegrated). Molina: derived of kurkura- (c.) ‘scarecrow’ (moreover, there is also a double reduplication kurkurakurkurai-!). Tischler (HEG K:652): kurkura- <-- kuer-/kur- 'cut', but Guterbok, and later Puhvel called it erroneus."
"earthquake → shaking, tremor → fear",fear,"fear, tremble",katta- (Hitt.) + reduplication in the meaning of shaking of soil,, ,to tremble,,katkatiya-,,,,,,,,"Puhvel (135): katkattiya- is a quasi-phonesthetic reduplicate (miming the rattling and rumbling of an earthquake?), similar to e.g. tastasiya- 'whisper', ku(a)sku(a)s- 'squash', or Gk. [tappaipco 'glimmer',.lat - tftillo 'tickle'. A derivation from katta 'down' (like e.g. appai-be finished' from appa) started with the incorrect rendering of katkattinu- as 'sink, dunk' (H. A. Potratz, Das Pferd in der Friihzeit 199 [1938]) and is now far fetched (though persistent: e.g. Friedrich. JCS 1:278-80 [1947]; Laroche, BSL 52:78 [1956]; Kammenhuber, Hippologia 45-6; Kronasser, Etym. 1:493; Oettinger, Stammhildung 346-7; G. Dunkel, KZ 95:221 - 3 [1981]).N.A.Mkrtcyan (Acta Antiqua 22:319 [1974]) adduced Arm.(katr)kat'el 'drip' (cf. the similar comparison, ibid. 318, of Arm.kosfkocjel- 'smash' with Hitt. kufajskufajs- 'squash'). If there is more than chance onomatopoeic similitude, perhaps the Hittite-Mitannian hippological usage of katkattiya- as 'shake off water' affected the Armenian meaning. There may also have been a semantic tie between demonic dripping and seismic convulsing in the Caucasus area and beyond (cf. the Amirani : [Norse] Loki parallel in Puhvel, Comparative Mythology 217 [1987])."
"joy, happiness → amusement, entertainment",joy,happiness,*TusK-,*T(e)usK,,"happiness, joy",,"dušk- / tusk-/tuskiya- 'be happy; enjoy; rejoice; amuse, entertain’'",,,,,,,,"Ivanov (180), Kloekhorst (901): It is difficult to establish what the original stem of this verb is. E.g. Oettinger (1979a: 326) interprets the verb as tuške/a-zi (probably inspired by his etymology, <*tus-se/o-). In my view, 1sg.pret.act. tuškun and duškun prove that the stem cannot have been tuške/a-, as we then would expect **tuškenun. These forms seem to point to tušk-zi only. The forms 2sg.pres.act. duškatti and dušgatti then perhaps denote /tuskti/. The derivative dušganu- can hardly be seen as belonging to a stem tuške/a-: it is likely to stand for /tusknu-/. The 3sg.pres.act. du-uš-KI-IZ-zi, which in principle can be interpreted as du-uš-ke-ez-zi = /tuskets i/ as from a stem tuške/a-, can be read du-uš-ki-ez-zi = /tuskiets i/ as well, as from a stem tuškie/a-zi. When we assume that the stem was tušk-zi with a variant tuškie/a-zi, we perhaps can interpret the stem tuškara- seen in the derivatives tuškaratt-, tuškartar and tuškaraant- as /tuskra-/. Note that Rieken (1999a: 116-7) interprets these words as /tuskra-/ as well, although this is in conflict with her view that the verb is tuške/a-zi. She therefore states that “es sich wahrscheinlich um eine Reimbildung zu *našara- [handelt], da -ra- nicht an thematischen Verben tritt”. The root tušk- can only reflect a preform *TusK-. All proposed etmologies,however, presuppose that tušk- is a -ške/o-derived stem. Petersen (1937: 211, widely followed, e.g. by Oettinger l.c., Rieken l.c.) connected the verb with Skt. túsyati ‘to be satisfied’ and reconstructed *tus-se/o-. Neumann apud Tischler (HEG T: 466) connects the verb with ON þýðr ‘friendly’, Goth. þiuþ ‘das Gute’, which reflect a root *teu- ‘in freundlichem Sinne die Aufmerksamkeit zuwenden’. In my view, these proposals cannot be correct. The verb tušk-zi rather reflects a root *TusK-, which is comparable in structure to e.g. *mesg-, *resg- and *tres- in LIV2 Unfortunately I have been unable to find cognates. Molina Its derivatives are: tuškari-, tuškaratt- (c.) ‘happiness, entertainment’, dušganu- ‘to make happy’,duškaratar / duškarann- (n.)/ dušgariiyatar / dušgariyann- (n.) ‘happiness’, dušgarauwant- ‘happy, glad’. It is unfortunate that there are no obvious cognates for this lexeme, Tischler’s suggestion (HEG T: 466) about the connection of *tusk- with ONorv. þýðr ‘friendly’, Goth. þiuþ ‘goods’, which reflect PIE *teu-, has been refuted on the basis of that the verb tuškzi should correlate with the PIE *tusk-, and, overall, there are no grounds for disagreeing with this opinion. See. https://unora.unior.it/bitstream/11574/247522/1/Cammarosano_2014_Rejoicing_in_the_Gods.pdf"
"ascent, rise → lifting of the spirit → joy, exaltation",joy,exaltation,*h3r̥-i̯é/ó- ‘to raise’; *h3ór-/h3r-´ ‘to arise’,*h3ér-/*h3r̥-´,"Ved. (prá) ārta ‘began to move’ (RV+), OAv. imp. uz-ārǝšuuā ‘move!, head off!’, Gk. ὦρτο ‘arose, started up’  (?) Toch. B konj. ertär ‘may evoke’, Lat. orīrī ‘to rise, arise’, Umbr. urtu, ortom, etc. ‘emerged, arisen’ (IgT), OCS rasti, Russ. rastí ‘to grow’, Toch. A ar‑, Toch. B er- ‘to evoke, cause’",exultation (?),"/ariya-exultation /; /ari-(ti)/, PUGNUS-ri+i- ‘to raise’; āri-(ti) ‘to raise, stop’ to carry’",ār-/er-(ḫi) ‘ to arrive’ arāi‑/‑i(ya)‑(ḫi),ariye/a- ‘to raise’ ,,"eri-(ti) ‘to raise, stop’; erije-(ti) - to rebel - 2220",,,,,"https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=2221 Yakubovich (2005:114) compares the Palaic verb ariye/a- with Luw. ari- ‘to raise’, which fits well in the sentence KUB 35.165 obv. 22: nu-u=š-ši-i=a-am=pí ti-i a-ri ‘You, exalt him for yourself!’ Likewise, the meaning ‘to pick up’ is appropriate in the context of KUB 35.165 obv. 8, where bread is the direct object and the imperative is directed at the gods, i.e. ‘Pick them up!’. Contra Carruba 1970a:51 (and Carruba 1972a:19), the meaning ‘to arrive’ by comparing Hittite ār-/er-(ḫi) ‘to arrive’ does not make sense in any of the contexts, especially since the verb is clearly transitive. See also https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=2220 PIE root aorist *h3ér-/*h3r̥‑´, cf. Hitt. arta ‘stands’, Ved. (prá) ārta ‘began to move’ (RV+), OAv. imp. uz-ārǝšuuā ‘move!, head off!’ (Bartholomae 1904a:183), Gk. ὦρτο ‘arose, started up’ (?)Toch. B konj. ertär ‘may evoke’ (?)nu-present *h3r̥-néu̯/nu-, cf. Ved. ṛṇóti ‘id.’ (RV+), Gk. ὄρνυμι ‘to urge on, incite’, Arm. y-aṙnem ‘to rise, Ved. ¹AR (RV+), OAv. īratū ‘he shall reach’, YAv. ǝrǝnao° ‘to send, bring’, Lat. orīrī ‘to rise, arise’, Umbr. urtu, ortom, etc. ‘emerged, arisen’ (IgT), OCS rasti, Russ. rastí ‘to grow’, Toch. A ar‑, Toch. B er- ‘to evoke, cause’."
onomatopoeic: ha-ha,joy,laugh,"onomatopeia emerged possibly on Proto-Anatolian or even Proto-Hittite level, as there are no PIE cognates",,"Lat. hahae, cachinno, Gk. καχάζω, Skt. kakhati Arm. xaxanc,O.H.G. (huoch) ; Germ. (häher) , (heher) ; Eng. (cackle) Old Church Slavonic chochotati ""laugh,"" Lithuanian klagėti ""to cackle,"" Greek kakhazein",смеяться,,hahreške/a- ḫaḫḫarš-,,,,,,,,"PIE *kakh-. Puhvel (7): Onomatopoeic word, cf. e.g. Lat. hahae, cachinno, Gk. καχάζω, Skt. kakhati Arm. xaxanc, etc. Cf. Kronasser, Etym. 1:121. F. R. Adrados's attempt (Homenaje a Antonio Tovar 39-4 5 [1972]) to make a precise connection with words like Gk. καχάζω jagged, rugged, harsh' is (apart from semantics) phonologically unlikely, since /; does not derive from a guttural occlusive. PIE COGNATES: Lat (cachinnare); OHG. (huoch); Germ. (häher), (heher); Eng. (cackle); Arm. xaxanc. English laugh -- Old English (Anglian) hlæhhan, earlier hliehhan, hlihhan ""to laugh, laugh at; rejoice; deride,"" from Proto-Germanic *klakhjan (source also of Old Norse hlæja, Danish le, Old Frisian hlakkia, Old Saxon hlahhian, Middle Dutch and Dutch lachen, Old High German hlahhan, German lachen, Gothic hlahjan), from PIE *kleg-, of imitative origin (compare Latin cachinnare ""to laugh aloud,"" Sanskrit kakhati ""laughs"", Old Church Slavonic chochotati ""laugh"", Lithuanian klagėti ""to cackle"", Greek kakhazein. Originally with a ""hard"" -gh- sound, as in Scottish loch; the spelling remained after the pronunciation shifted to ""-f."""
"to admire, to be in raptures, to revere → respect",love,respect,"PLuw *lau̯- ‘to show reverence, honor (?)’",*lau̯-,"Lat. laus, laudis ‘praise’ (Andr.+), laudāre ‘to praise, speak well of; to name’ (Plaut.+) OIr. lúaidid ‘to celebrate, mention’; eDIL s.v. 1 lúaidid, PGerm. *leu̯þa- ‘song’, cf. Goth. compound awi‑liuþ n. ‘acknowledgements’, ON ljóð ‘stanza of a song’, OE lēođ ‘song, poem’, OHG liod ‘song, praise’","to show reverence, respect (?)",,,,lawa-(d)  ti[be (3–4 знака)]; lo-(d) ‘to honor (?)’; *láu̯-tori > Lyd. lodaλ,"*law- ‘to show reverence, honor (?)’",,,,,"PIE *lau̯- ‘to treat respectfully/honorably’; https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=920; the Luwic cognates Lyd. lo‑(d) ‘to show reverence(?)’ and Lyc. A lawi- ‘to respect(?)’ may be connected with; Lat. laus, laudis ‘praise’."
"take care of a tomb → show respect (to cause to be thriving → to hand over in a thriving state → to hand over reverently, with care)",love,respect,"Yakubovich 2022 (JLR): *χwisr-; or *kʷisr- ‘(welfare, thriving, good state)’ → causative verb *kʷisr-ey(o)- ‘to make thrive, take care (of)’); *PA *traw- ‘to pass, hand over’; (Lydian innovation built on PA pieces): PA compound *kʷisr-traw- ‘to hand over in good/thriving state’ (→ ‘hand over reverently/with care’) ",,,to take care of a tomb = show respect,,"Hitt. ḫuwāi-/ḫuiya- (i) ‘to move’ and Luw. (H) hwiya- ‘id.’ are formally suitable as cognates of Lyd. *qi-šr (Yakub. 2022, JLR)",,"qišre-(d) ‘to take care (?)’, qištori-  ‘to hand over with care (?)’",,,,,,"Its likely genetic connection with Lyd. kantoru (Brandenstein 1931:37), and thus ultimately with Lyd. trodν ‘I handed over, delivered’ (vel sim.), with which it occurs in the same line, strengthens the impression that it also represents a verb of transfer. The formal and syntactic similarity between kantoru and qištoridν suggests a segmentation into qiš- + toridν. The second element of this reconstructed compound (i.e. Lyd. tro-(d)) apparently represents a lexical cognate of Luw. /trawi-(ti)/ ‘to pass, hand over’. Rather than comparing this element with the relative pronoun, as does Carruba, one attempt to reconstruct the element qišr- with the approximate meaning ‘thriving’. Then the denominative qišre- could originally mean ‘to cause to be thriving’, while the compound qišr-tori- > qištori- would have the literal meaning “to hand over in a thriving state”. Subsequent semantic bleaching in the direction ‘to hand over reverently, with care’ should not appear surprising."
"to speak → to care for, to take care of",love,care,malu,*mleu̯h2- (verbum dicendi) > *ml̥u̯h₂-,,to take care of,"? HLuw. malwa/, ma-lu-wa/i ‘(unknown)’",malаi ??,,,mlu-; mluhidaza- ‘(a title)’; mlu- ‘to take care of’,,,,,"PIE *mleuh2- > *ml̥u̯h₂- > PA malu > Lyc. mlu. The Indo-European etymological connection with the root of speaking *mleuh2- suggested in eDiAna, but not yet provable due to the uncertainty of the meaning of the verb. Likewise, the highly tempting inner-Anatolian connection between Lyc. A mlu- and Luw. malwan- (and HLuw. ma-lu-wa/i) is weakened by the lack of a solid semantic assignment. Melchert (DLL:40f.) hesitantly suggests the meaning ‘tend to, care for’. On exclusively formal grounds, a connection of mlu- with the PIE root *mleu̯h2- (verbum dicendi) seems possible, but difficult to prove. Hence this could be a development from ‘to speak’ > ‘to care for’ or ‘to take care of’. The word km̃mẽti ‘how(ever) many’ could serve as a subject and tddẽta ‘nourishing, food (?)’ as a direct object. Thus, the meaning ‘to take care of (the food)’ in the sense of distributing it to the army could be adopted. ""se=i=(ẽ)nẽ telẽzijẽ tddẽta mluñte w[..]qrai[j]e km̃mẽti"" -- ‘And however many took care of the food(?) of the armies… (vel sim.)’. The word ẽnẽ ‘under’ may function as a preverb modifying the semantics of mlu- slightly, cf. ẽnẽ sm̃mate in TL 44b.12 (Sasseville 2021a:52). Example from Yakubovich (2010:78, dissertation): EMIRGAZİ paragraph 19-20, cf. Hawkins 1995: 88, ma-pa-wa/i *414.OVIS-zi/a REL-tá-zi/a STELE ma-lu-wa/i CRUS *a-wa/i-tá ma-na ARHA REL-i(a)-sa-ha CAPUT+SCALPRUM ""But if someone removes(?) the stelae, for which *414-sheep are established as a sacrificial offering…"": approx. /man=ba=wa …-anz kwattanz wani=za malwa tai/."
descendant → beloved,love,dear,*h3ór-/h3r-´ ‘to arise’ OR *h2redh- ‘to emerge’,"*h2r̥dhú, *h2redh- 'to emerge' , (Kloekhorst) *h3er-tu-","Balto-Slavic *rod'īti, Lat. ortus ‘birth’","dear, beloved (?)","/hartuwi(ya)-/, “*187”-tu-wa/i-i- from hartu- 'descendant'; /hartu-/, (INFANS)ha+ra/i-tu- ‘descendant, clan’","ḫartu- ‘offspring, descendance’",,,,,,,,"It is questionable whether the word ḫartu- occurring in Hittite Transmission is Hittite (thus HW 2nd ed. Ḫ:381) or a Luwian borrowing; more evidence is needed. Projecting HLuw. /hartu-/ back into Proto-Anatolian, we obtain a u-stem of the shape *HErTu-. A priori, it is tempting to see a formation in *-tu- derived from a root *Her-, e.g. PAnat. *h3ór-/h3r-´ ‘to arise’, i.e. *h3er-tu- (thus Kloekhorst 2006a:93 and EDHIL:317 following Weitenberg; outdated HW 2nd ed. Ḫ:382). Schaffner (2010-2011:105-107) follows another etymology (see HED H:202) and reconstructs a noun *h2r̥dhú-, i.e. a u-stem to a root *h2redh- ‘to emerge’ also found in Balto-Slavic and Greek."
good → pleasant → dear,love,dear,"*u̯ósu-/u̯ésu- ‘good’; *u̯és-o/to- ‘to be pleasant, favored’",*h1u̯es- is ‘to become/be good’,,"to be dear; good, well; wellness, pleasentness (vel sim.)","/wass-/, (BONUS)wa/i-sa- ‘to be dear, be respectful’; wašš- ‘to be dear’, derivative - wašumman; wāšu- ‘good’; GK wašš- or waššā- ‘to be pleasant; favoured’, /wasu-/ ‘good, dear’",,"wāšu- ‘good, well, nicely’; *waš- ‘to be dear’","wisw(i)- ‘pious, holy’; *wes-/wis- ‘to be dear’, wesfa- wisw(i)-  niwisw(i)-  pious, holy, inholy, impious",,*wes- ‘to be dear’,,,,"PAna *u̯ósu-/u̯ésu- ‘good’; PAna *u̯és-o/to- ‘to be pleasant, favored’; according to LIV2+ s.v., the basic meaning of PIE *h1u̯es- is ‘to become/be good’. Kloekhorst (1018): In the vocabulary KBo 1.42 iv 42, ú-iz-za pa-a-an glosses Akk. LA-BI-RU ‘old’, showing a clear word space between izza and pn. On the basis of this attestation, Güterbock (1955: 64f.) suggested that the word is a univerbation of itt- ‘year’ (q.v.) and pnt- ‘having gone’ (see pai-zi / pai-) and that it originally meant ‘the year hasgone’. Rieken (1999: 26) states that therefore e/izza must be interpreted as the original nom.sg. of itt- ‘year’. This interpretation is unlikely in my view, however, since an interjection of a loose sentence ‘the year has gone’ is quite ungrammatical. Moreover I cannot envisage how such an interjection would develop into an inflecting adjective. It therefore might be better to interpret *e/izza as gen.sg., univerbated with a *pnt- that agrees with the noun it determines, so that uizza pnt- originally meant ‘having gone with regard to the year(s)’, which developed into ‘having gone weary’. See for further etymology the separate lemmata itt- ‘year’ and pai-zi / pai- ‘to go’. Another question is whether PIE *h1u̯o/es-u- adj. ‘good’ can be related to the u̯-less adjective PIE *h1(E)s-u- ‘good’ (NIL:239–243), cf., e.g., Hitt. āššu- adj./sbst. ‘good’ and the compound member Ved. su- = Gk. εὐ- < PIE *h1s-u-. Some scholars assume that the stem *h1s-u- originally developed via dissimilation from *h1us-u-, the zero-grade form of *h1u̯o/es-u-. Subsequently, a new full-grade form *h1Es-u- was formed to dissimilated *h1s-u- (NIL:255 n. 3 with lit.). Others, however, propose to connect the stem *h1(E)s-u- with the PIE root *h1es- ‘to be (there)’ (cf. NIL:239 n. 1), which would then preclude a connection with PIE *h1u̯es-."
good → favourable → dear,love,good,"PLuw *(h1)assk̂ā- ‘to love’ → azza-; PA*h1E(h1)s- ‘(to be) good, dear’","*h1ē̆su-, *h1e(h1)su- 'good'","Ved. sú adv. ‘well’ (RV+); cf. also su- ‘good, well’ (RV+) as first member of compounds (e.g., Ved. su-śrávas- adj. ‘having good glory’ [RV+]) = Av. hu- ‘id.’ (e.g., Av. hu-xratu- adj. ‘having good strength [of mind]’), OPers. u- ‘id.’ (e.g., u-martiya- adj. ‘having good followers’) , Gk. ἐύς adj. ‘good’, acc. sg. m. ἐύν (Il.[+]); ἐύ, εὖ adv. ‘well’ (Il.+); ἠύς adj. ‘good’, acc. sg. ἠύν, nom./acc. sg. n. ἠύ (Il.[+]); cf. also nom./acc. pl. n. ἤεα· ἀγαθά (Hsch. η 163 Latte); and cf. also εὐ-, ἠυ- (= Myc. e-u- in personal names such as e-u-me-de ‘Εὐμήδης’) ‘good, well’ in compounds such as εὐ-κλεής adj. ‘of good report, famous’, ἠύ-κομος adj. ‘with lovely hair’ , OIr. su-, so-, MW hy-, etc. ‘good, well’ in compounds such as OIr. so-nairt ‘strong’, MW hy-bryd ‘beautiful, well-shaped’, Goth. swikns ‘pure, innocent’, ON sykn ‘innocent’ , Lith. sū́drus ‘thick, dense, solid, tight, (dial.) lush, fertile’ , OCS sŭ-dravŭ ‘healthy’, Russ. zdoróvyj, zdoróv m., zdorová f., zdorovó n. ","(to be) good, dear, to make good (?), in good faith (?), to make good (?) to cause to embrace (?)","*/ass-/ āššu- / āššau-; /assunu(wa)-(i)/, a-su-nu AMPLECTI-nú- ; HL /azza-/, á-za- / AMPLECTI- ‘to love’","aššiye/a-/, SIG5-, assiyanu- aššu-, SIG5- / assiyanu-",,"*as- asfãν , ašνo-(d) ",*ah- - 1312; asa-(ti) - 1309 †ahñta - 1937 asa-(ti) ‘to love’,,,,,"PIE u-stem adjective *h1ē̆su-, *h1e(h1)su- vel sim. means ‘good’. Puhvel (204): assu- has been traditionally connected (ever since Friedrich, /f 41:370-2 [1923]) with Gk. 'good, brave, noble', eis 'well', gen. pi. (Homeric) 'good things' (IE *[e]su~ from *es-ibc\ like e.g. Skt. sdnt- 'being; real, true, good', or Gk. 'goods, possessions' with its probable Lycian caique ahntai on the Xanthos trilingual [Lye. 17]; cf. Laroche, Fouilles de Xanthos 6:58, 68 [1979]; already Hrozny, Heth. KB 103, adduced the comparison of Akk. busu 'goods' with basil 'be'), besides IE *esu- 'good' in other branches of Anatolian (Palaic, Luwian, Hier. wasu- 'good; well-being'), somewhat like Skt. su 'well' besides 'good; wealth' (cf. e.g. Mayrhofer, KEWA 3: 173-4; Kammenhuber, KZ 77:169-70 [1961]). The verbal form assari has been explained as denominative from assu-, analogous to the gloss-wedged Luwoid wassari(q.v. s.v. was[s]-) from Luw. wasu- (cf. Oettinger, MSS 34:136 [1976]), and assiya- has been similarly accounted for (cf. e.g. Kronasser, VLFH41; Neu, Interpretation 20). Alternatively, assiya- has been kept apart from assu- and connected (as reflecting *ans-y -or *ns-y-) with IE *ans- (IEW41) seen in Goth, ansts 'favor, grace', ON ast 'favor, love', ON unna, OE OS OHG unnan 'favor, be ungrudging' (cf. G. Jucquois, RHA 22:89-91 [1964]; Gusmani, Lessico 72). Yet the inner-Hittite data cast doubt on the derivation of assu- from IE *(e)su-; a derivational tie to the verb 'to be' ought to be still palpable in Hittite, and the near universal geminated spelling assu- (vs. constant asanzi, asant-) is difficult to justify (cf. e.g. KUB XXXIII 109 I 5 asanza memias 'the? matter [is] true'). A chain of semantic developments 'being' > 'real' > 'true' > 'good' > 'dear', while not impossible, would be unique (Gk. in the direction of 'brave, noble'). Furthermore, assu- does not basically denote that which is intrinsically and objectively good (as does inherently IE *[e].?w-) but rather that which is found to be agreeable; hence DUG.GA 'good' does not cover assu- but rather lazz(a)i- 'good, sound'. It is therefore advisable to start with the sense 'favored, dear'; for the sequence 'favored, dear'>'good'>'goods' one need but compare Lat. bonus <*duenos, lit. 'favored'; cf. bea-<*d\veya- 'favor, make happy', Vedic diivas-, duvoya 'favor', duvasyati 'show favor, honor'). Therefore the root ass- can be considered basic, with assiya- a primary verbal derivative like e.g. arsiya- beside arsor parkiya- beside park- (cf. also Carruba, Oriens Antiquus 13:150 [1974]). assu- is a w-stem derivative from ass- .aw-, assu- point to a reconstruction *cms- or *ns-, if we compare e.g. dassu-<*donsu- or *dnsu-, or hassu-<*Hyonsu-, with *ns>ss rather than nz (cf. Kronasser, VLFH 73; Oettinger, Eide 24). Accordingly A.W- can be connected immediately with IE *crns-, *rrs- 'favor' which Jucquois proposed as the etymon of assiya- (see above). IE *ans- thus has a rich progeny in Hittite but little in other Anatolian; on the other hand Hittite (unlike most of Anato lian) has little trace of IE *wes~ and does not (unlike Hierogly phic) form a causative of es- 'sit'; of IE *(e)su- there are no Anatolian traces at all. Cf. Puhvel, KZ 94;65-70 (1980). O. Szemerenyi's derivation from Hitt. *ass(u)yapiya- 'health-giver' (Journal of Hellenic Studies 94:155 [1974]) richly deserves rejection. Szemerenyi (Kratylos 11:215-8 [1966]) also questionably interpreted e.g. ishassara- 'lady' (q.v. s.v. isha-) as *isha-assara- and isolated an *asar which he compared either with Gk. ooip 'wife' (as *osr) or with assiya- 'be dear' (as *nser oved one,<*tlove, affection'). /azza-/ is part of a formula frequently found in comparable phrasings in the other Anatolian and neighbouring languages: ‘beloved by god X’. Melchert 2016b:242 states that the HLuw. /massanadi azzammi-/ is semantically equivalent to the Hitt. expression šiunit kaneššant- ‘favoured by the gods’."
"to honour → to hold dear, to cherish → to love",love,love,,"*u̯enH- ‘liebgewinnen’, *u̯en- ‘überwältigen","Ved van- ‘to love; to honour, worship","loving, beloved",, ,,,,,,,*ynem < *un-,"Предположительно cognate of Sanskrit (Ved.) van- ‘to love; to honour, worship’. eDiAna: ""Schürr’s proposal (PIE *wenH- ‘liebgewinnen’) is definitely one of the possibilities, another one could be PIE *wen- ‘überwältigen, gewinnen’ (for both see LIV²:680f., 682f.). Since both may be attested in Carian (see s.vv. un and βάνδα) and the meaning of ord is unknown, it is hard to decide the issue, but Schürr’s proposal might be semantically better fitting."" For PIE: https://archive.org/details/lexikon-der-indogermanischen-verben/page/682/mode/1up"
"voluntarily (of one’s own free will) → generously → pleasantly, agreeably",mercy,generosity,*prei̯-,*prei̯H- ‘to be friendly’,Russ. priyatny,"to be nice, generous, of one’s free will, willing(ly)",,,,,,"prija-(ti) ‘to be nice, generous (vel sim.)’ , prijeli(je)-  2643 - hapax,  prijẽli",,,,"Possibly PIE root *prei̯H- ‘to be friendly’. The word is used adverbially once, modifying the verb slatu ‘to offer in sacrifice’. The approximate meaning ‘friendly, nicely, of one’s free will, willingly’ can be adduced from a comparative perspective with Lyc. B prijeli(je)-. This could be compared to Greek τάς τε θυσίας πάσας ἔθυσεν τὰς γινομένας ἐν τῶι ἐνιαυτῶι ὑπὲρ τῆς βουλῆς καὶ τοῦ δήμου καλῶς καὶ φιλοτίμως ‘He performed all sacrifices, the ones happening in the year, for the council and the people, nicely and generously (or honorably).’ (IG II2 788, 10-12) and ἀνέθηκεν δὲ καὶ βωμὸν λίθινον ἐκ τῶν ἰδίων ‘He set up also an altar made of stone of his own free will.’ (IG II2 788, 12-13).The other Lycian attestation seems to modify qrbblali, which probably denotes an official in charge of the qrbble(/i)-. The meaning ‘nice, generous’ is also appropriate as an attribute to someone involved in cultic activities (similarly Shevoroshkin 2014a:250, 253 ‘cherished’)."
