concept,domain,semantics,PA root,PIE,IE-cognates,translation,luw,hitt,pal,lyd,lyc A,lyc B,pis,sid,carian,comments,datsemshift
to despise ← to diminish → small,enmity,oppression,PA tep,PIE *dhébh-u-,"Skt. dabhrá- ‘little, small, deficient’, dabhnóti ‘to deceive, to hurt’, ádbhuta- ‘unerring, wunderful’, GAv. dbnao- ‘to deceive’","унижать, ‘to diminish, to despise’","tāpa/i- ‘bad, shoddy, of minor value (?)’, (cf. Hitt. tēpu- ‘small’ for a possible etymological connection assumed here), https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=3566; tapašša- ‘illness (?)’",tepnu-zi; tepawesk-; tēpu-/tēpau̯- 'small',,,,,,,,"Kloekhorst 869 from tēpu- / tēpau- (adj.) ‘little, few’: IE cognates: Skt. dabhrá- ‘little, small, deficient’, dabhnóti ‘to deceive, to hurt’, ádbhuta- ‘unerring, wunderful’, GAv. dbnao- ‘to deceive’.PIE *dhébh-u- This noun and its derivatives are predominantly spelled te-e-p° and te-p° (both in OStexts already). Twice, we find an aberrant spelling, namely [t]i-e-pu (OS) andz[e-]-pu (OS), but these can hardly be anything else than scribal errors.
This adjective, which has to be phonologically interpreted /tébu- / tébau-/ has since Marstrander (1919: 150) generally been connected with Skt. dabhrá- ‘little, small, deficient’. At the same time Hrozný (1919: 1464) connected Hitt. tepnu-zi with Skt.dabhnóti ‘to deceive’, which goes back to *dhebh-neu- (but note that GAv. dbnao- = /dbnao-/ shows the most archaic formation, namely *dbh-neu-). A u-stem, as in Hitt. tpu-, is found in Skt. ádbhuta- ‘unerring, wunderful’ (*.-dhbh-u-to-) as well.See s.v. tepšu- / tepša- for a nominal derivative reflecting *dhebh-su-. Иванов 217",
,enmity,oppression,,,,"malign, offend, insult, insult, injure, attack","zammurai-,zammuratt(i)- (c.) ‘insult, slander’",zammurae-,,,,,,,,"Kloekhorst 1030 from a noun *zammura- the Hittite verb zammurae- is built on a Luwian nominal stem zammura- ‘insult,
slander’. Further etymology of this form is unknown.",
,enmity,punishment,,,,affliction,"/harattutta-/, (“MALUS”)ha+ra/i-tú-tá 'something undesirable that works as a punishment'",haratar,,,,,,,,"Kloekhoret 300 harra-i / harr- (IIa1) ‘to grind, to splinter up (wood), to crush (bread), (+ ara) to destroy; (midd.) to go to waste, to go bad’: Derivatives: arranu-zi (Ib2) ‘id.’ (3sg.pret.act. ar-ra-nu-ut; impf. ar-ra-nu-
uš-ke/a-), see rš-i Anat. cognates: CLuw. harra- ‘to crush(?)’ (3pl.pret.act. ar-ra-an-ta (KBo 29.34 i 6)), NAarra- ‘grindstone’ (abl.-instr. ar-ra-a-ti); HLuw. ARHA hara- ‘to destroy’ (3sg.pres.act. /haradi/ ha+ra/i-ri+i (TOPADA §34, BULGARMADEN §13), 3pl.imp.act. /harantu/ ha+ra/i-t[ú-u] (TOPADA §38), ha+ra/i-t (BULGARMADEN §15)). IE cognates: Gr.  , Lat. ar, OIr. -air, OHG erien, Lith. ariù, árti, OCS orj, orati ‘to plough’.
PIE *h2órh3-ei, *h2rh3-énti ? See HW2 : H 263f. for attestations. There, a 3sg.pres.act. form a-ra-ra-zi is mentioned as belonging to this verb, which is rather to be interpreted as a noun (see NA ararazi- for its own lemma). The verb shows a stem arra- besides arr- (in inf.I arruanzi and 1pl.pres.act. arruani, although this latter form is mentioned s.v. ar(k)-zi in HW2 : 280), which determines it as belonging to the tarn(a)-class. In NS texts we occasionally find forms that inflect according to the atrae-class (arrnzi, arrnt-). The tarn(a)-class consists of verbs with the structure *(Ce)CeH-, and of verbs with the structure *CeCh2/3- (cf. § 2.3.2.2d, where I have argued that the colouring of the 3sg.pres.act. ending *-ei to *-ai due to the preceding *h2/3 was responsible for the transition into the tarn(a)-class: cf. also iškalla-i / iškall- ‘to split’, išparra-i / išparr- ‘to trample’, malla-i / mall- ‘to mill’, padda-i / padd- ‘to dig’ and šarta-i / šart- ‘to wipe, to rub’). The first structure is unlikely for arra-i / arr-, so that we rather have to assume the second: *HerH- (note that this structure explains geminate -rr- as well). Since in *HórH-ei, *HrH-énti the initial laryngeal stands in front of either *o or *r, and since in both these positions *h3 would drop, the only possible reconstruction is *h2-. Although *h2- was dropped in front of *o as well, it was retained in front of *r, and we therefore have to assume that - is restored throughout the paradigm on the basis of the weak stem *h2rH- (cf. Kloekhorst 2006b for the reflexes of the initial laryngeals). The root-final laryngeal must be *h2 or *h3. Formally, arra-/arr- can thus only reflect a root *h2erh2/3-. A connection with PIE *h2erh3- ‘to plough’ (Gr.  , Lat. ar, Lith. árti, etc. ‘to plough’), which has been proposed by Goetze & Sturtevant (1938: 70), would formally work perfectly indeed. The semantic side of this etymology is debatable, however. If one accepts this etymology, it has to be assumed that PIE *h2erh3- originally meant ‘to crush’, which developed into ‘to plough’ (from ‘to crush the
soil’, cf. also s.v. rš-i ‘to till the soil’ < *h2orh3-s-) only after the splitting off of the Anatolian branch. Puhvel (HED 3: 136) alternatively suggests a borrowing from Akk. arru ‘to grind’, but in my opinion, the inflection of arra-i / arr- cannot easily be explained by this assumption.",
hostility → revenge,enmity,revenge,PA*k(h2)et ‘hostility (vel sim.)’,PIE *k̑h2et-(e)u-,"OIr. cath‘strife, battle’",hostility (?); to be enemies,"/katt(i)-/, ka-ti-i-; *katt(i)- hostility (?)’; kattawatnalla/i- ‘vengeful; plaintiff; revenger’ ","kattu- ‘enmity, strife’; kattuwae-/ kattawatar / 'to be aggrieved' katterraḫḫ- 
",,,,,,,,"Kloekhorst 466 PIE *k̑h2et-(e)u- ? Derivatives: kattuae-zi (Ic2) ‘to be aggrieved(?)’ (3sg.pret.act. kad-du-u-a-i[t] (OH/NS), kad-du-a-i-i[t] (OH/NS)), kattatar / kattawann- (n.) ‘aggrievedness, enmity’ (nom.-acc.sg. kat-ta-a-a-tar (OH/NS), kat-ta-a-tar (OH/MS), gen.sg. kat-ta-a-an-na-aš (OH/NS)), kattaannalli- (adj.) ‘vengeful’ (nom.sg.c. kat-ta-a-‹an-›na-al-li-iš (MH/NS)). See Puhvel HED 4: 138f. for attestations. Although the basic noun kattu- is only attested once, on the basis of the derivatives kattuae- and kattaatar we can set up an adjective *kattu- / katta- ‘aggrieved, inimical’. Laroche (1965: 51) compared these words to Gr. ‘spite, anger’, which is usually connected with OIr. cath‘strife, battle’ (which reflects *katu- as in the personal names Gaul. Catu-riges, OHG Hadu-brand), MHG hader ‘fight, struggle’ and Skt. sátru- ‘enemy’. These words point to a root *h2et- (laryngeal needed to explain OIr. -a-), which would mean that Hitt. kattu- / katta- reflects *h2et-eu-. Note that this implies that CLuw. kattawatnalli- cannot be genuinely Luwian, since * > Luw. z-, and therefore must be an adaptation of the Hittite word.                   https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=3777",
,enmity,revenge,,,,искать + мести,,šanh-/šah-,,,,,,,,"Kloekhorst 720 ša(n)h-zi (Ib3) ‘to seek, to look for; to investigate; to attempt; to avenge; (ppan) to loof after; to clean, to sweep clean’:",
"high → eminent, powerful → arrogant",enmity,revenge,PA *serk-,PIE *serk‑,"TochB särk- ‘to be better than’, Lat. sarci ‘to patch up, to mend'","vengeful, something negative, angry, ","šarkiwal(i), šarkatt-  CLuw. *šark-.","šark- /šarkiwalli- 'eminent, illustrious, powerful'",,,,,,,,"Kloekhorst  734 šarku- / šarga- (adj.) ‘eminent, illustrious, powerful’, (c.) ‘an eminent person’ IE cognates: TochB särk- ‘to be better than’, Lat. sarci ‘to patch up, to mend’. PIE *sr-(e)u- or *sor-(e)u- This adjective is often translated ‘high in status’(cf. also CHD), which goes back to Juret (1942: 43) who assumed an inner-Hittite connection with šar ‘upwards’ and šr ‘on top’. This connection cannot be correct, however, and šarku- / šarga- therefore should be translated ‘eminent, illustrious, powerful’ without semantically linking it to ‘high’. We are clearly dealing with an u-stem adjective derived from a root šark-, which probably is found as such in the verb šarkiške/a- ‘to be good’ < *šark-ške/a-. Note that the editors of CHD (Š: 267) translate this verb as “to ascend”, which they admit to have based “on the supposed link to šarku- ‘high, eminent’”. Moreover, in order to illustrate this meaning they only cite one context, KUB 24.7 iv 25-26, which is broken and therefore non probative. The other context in which this verb occurs is much clearer (for the reading šar-[k]i-iš-ke-ši, cf. šarku- d UTU-u- ‘eminent Sun-god’ in ibid. i 15, 18, 58):",7
"separate, distant → foreign / alien → hostile → envious",enmity,envy; enmity, PA*al-o- ‘distant’,"PIE *al-, *ali- → PIE *al-o-, *ali̯-o","ME ellendish ‘foreign’ Lat alius ‘other’, aliēnus ‘alien’, aliā ‘elsewhere’, aliās ‘elsewhere, at another time’ , Gk ἄλλος, proclitic adversative conjunction ἀλλά ‘but’ (Hackstein 2011b) Arm. ayl (o-stem) ‘other, different’ (Olsen 1999a:25) Ved. arí, aryá-, áraṇa- ‘alien, remote’.  ","enmity; envious person, covetousness; to become envious, covet, enemy force","/alan(na)-/, á-lá/í-na- ; alanna/i- /aliwann(i)-, alunn(i)-/, ali-wa/i-ní-; /(a)liwannid-/, (VIR2)ali-wa/i-ní-, /alunam(i)-/, (“COR”)á-la/i/u-na-ma-; /alunazza-(i)/, (COR)á-la/i/u-na-za from HL /ala-i/, see alienation āla/i- ‘distant (?)’  /arla-/, ara/i-la- ‘pedestal, altar (?)’",,, *al(i)- ‘distant (?)’,,,,,*al- (?),"As demonstrated by Rieken & Yakubovich 2022a:278f. (accepted in Steitler 2017a:390, 395), Anatolian inherited the root *al- ‘not related to the speaker’ with derivatives that show a range of metaphorically transferred meanings: ‘other’, ‘distant’, ‘foreign’, ‘hostile’, and ‘wild’. Earlier interpretations took other directions. Thus, Watkins 1995b:144-147 claimed that āla/i- means ‘high, lofty, steep’ and was borrowed into Mycenean Greek, appearing as the first member in the Greek compound ᾱλίβατος (Pindar, Aeschylus), ἤλίβατος (Homer) ‘steep (rock)’. This interpretation was presented already in Watkins 1986a:714f. n. 29, accepted in CLL:6, and considered in HHw:13. In contrast, Starke 1990a:603 argued that Luw. āla/i- is unlikely to function as the word for ‘steep, high’, since this meaning is expressed by Luw. parrai(ya)-. Instead, Starke 1990a:374 n. 1346 and 462 n. 1683 (repeated in HHw:13) suggested that the lexeme in question represents the noun for ‘sea’, regarding it as a cognate of Lyc. A elijãna ‘nymphs’. Starke’s interpretation of ala/i- ultimately went back to Carruba 1962a:65f. (repeated in Carruba 1982a:47f.), HW:475, Laroche 1979c:114; still very vague Meriggi 1957a:215 and without any assignment of a meaning DLL:25f.         
PIE endingless locative *al and i-locative *al-i ‘elsewhere’ (Pokorny IEW 24‑27; Specht 1943a:49f., Dunkel LIPP II 18‑21); delocatival derivatives: *al, *al-i ‘elsewhere’ → *alo-, *ali̯o- ‘being elsewhere, other’ Tocharian        
B m. alyek, f. alyāk, n. allek; A m. ālak, f. ālyāk, n. ālak (Winter 1992c:151‑158); derivative B aletse ‘foreign’ Germanic Goth. aljis ‘other’, OHG eli-lentī ‘existence in foreign territory’ [Dasein in der Fremde] (EWAhd II.1044), Middle English ellendish ‘foreign’ Latin alius ‘other’, aliēnus ‘alien’, aliā ‘elsewhere’, aliās ‘elsewhere, at another time’ Ancient Greek ἄλλος, proclitic adversative conjunction ἀλλά ‘but’ (Hackstein 2011b) Classical Armenian ayl (o-stem) ‘other, different’ (Olsen 1999a:25) Vedic Sanskrit arí, aryá-, áraṇa- ‘alien, remote’.                                      https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=3210 As for semantics, see also niwaralla-.",
"to spread out → to spread out one's arms → to hug → to intertwine → a loop, to tighten (physically) → metaphorical shift → a difficult state, depression, feeling of being constrained by circumstances → (physical, in the body) restlessness → fear",fear,"fear, напряженность, беспокойчиыо",PA *peth2-ul-,PIE *peth2- ‘to spread out,"Goth. fatha ‘fence,  Slav. petъlja (Russ. петля)",страх тела; беспокойство,,pittuliya-,,,,,,,,"Puhvel (HED 113) The spelling pı ́-tu-li-ya-an guarantees the reading pı ́t- (rather than pa ́t-), while its hapax scriptio facilior does not shake -tt- in pı ́t-tu-, pointing to //t// and etymological *t. Cf. perhaps Goth. fatha ‘fence’, if originally ‘enclosure, corral’, possibly from *pet-A2- ‘spread’ as in pattar, pittalwa-, where the semantics would have to include ‘enfold,embrace’ (thus Rieken, Stammbildung 4712; cf. German um-fassen). Underlying the derivatives is a noun *pittul- ‘constriction’(type of assul-, taksul-, wastul-), with *si ́g pittulas ‘wool of constric- tion’ hypostasized as (SI ́G)pittula- ‘skein (of wool)’, Kloekhorst 681-The meanings ‘loop, knot’ (for (SÍG)pittula-) and ‘anguish, worry’ (for pittulia- and derivatives) seem to be connected by the notion ‘choking, strangling’, but I have been unable to find a formally fitting cognate with such a meaning. According to Rieken (1999a: 471-2) we have to start from a stem pittul- which she analyses as an -ul-derivative of the root *peth2- ‘to spread out’, assuming a semantic development ‘*ausbreiten’ > ‘*Arme ausbreiten’ > ‘*umfassen’ > ‘umschlingen’. (*расправить' > '*развести руки' > '*обнять' > 'окружить'.) This development does not seem very appealing to me. Molina: E.Rieken (1999) believes that there was a suffixal formation *peth2-ul- here and, accordingly, a semantic transition from ""to spread out > to spread out one's arms > to hug > to intertwine. I.Yakubovich (2016) draws a parallel with Slav. petъlja (Russ. петля), with a very close semantic formation. All in all, semantic transition from the concept of a knot to the concept of being restrained, anxious, worried sounds trivial and typologically frequent. ","Farsi : suffocation, choking, strangling- upset, angry (afg. Dari?)"
"*u̯er-eh1- 'notice, attention' + *deh1- 'put' → to focus attention (on something) → to be wary of something → to be afraid of something (→ “to frighten, to scare”)",fear,"fear, ужас",PA *u̯er-eh1- + suffix *deh1-,PIE *u̯(e)rh1-i- + *dheh1- ,"Lat. vereor ‘show respect,  OIr. cóīr, coair ‘full- fledged’, Wel. cyweir ‘prepared’ < Proto-Celt. *ko(m)-wari-; Goth. wars, OIsl. varr, OEng. wœr- ‘accurate, attentive’ (Proto-Germ. *wara-), Goth. warei ‘sly’, OEng. waru, OHGerm. wara ‘attention’.",испуг,,werite-/warite-; uritema-,,,,,,,,"Kloekhorst 1004 -PIE *w(e)rh1-i- + *dheh1- ? First it should be noted that although the bulk of the forms of this verb are spelled ú-e-ri-, we find two OS attestations that show wa-ri- with an aberrant -wa-. The one form that is spelled ú-i-ri- is attested in a NS text and can therefore be disregarded for etymological purposes. The fact that we find a stem erite- (ú-e-ri-ti-iz[-zi], ú-e-ri-te-eš-ta and weritema-) besides a stem e/arit- (ú-e-ri-iz-za-aš-ti /ueritsti/,waritanzi, ú-e-ri-ta[-an-zi] and eridanu-) reminds of verbs like peute-zi / peut-,uate-zi / uat- and wete-zi / wet-. These verbs all can probably be traced back to the root *dheh1- ‘to put’ preceded by several univerbated elements. Therefore, it is likely that we/arite-zi / we/arit- also consists of we/ari- + *dheh1-. This view is also advocated by Oettinger (2001: 467), who analyses the verb as *weri-de- ‘zur Verehrung setzen’, apparently connecting the first element with wer(ie/a)-zi ‘to call,to summon’ (q.v.). If this connection is correct, I would rather suggest another semantic development, namely ‘*to place a call > *to scream (in fear) > to fear’. If so, then the OS variant with wari- may show a zero grade formation *wrh1-i- besides the e-grade in werie/a-< *uerh1-e/o-, in analogy to which e-grade was introduced in warit(e)- >> werit(e)-after the OH period.   Molina forthcoming: ""For werit(e)- (EDHIL: 591, 1003), following Oettinger (2001: 467), suggests PIE form in two parts: *w(e)rh1-i- + dheh1- (weri-dē- in Oettinger, *dē- meaning ‘put’). Semantic development in this case would be ‘start calling > call (in fear) > fear’ (and the connection with Hitt. weriya- ‘to call’ is, of course, suggested, too). Tischler (HEG W-Z:503) mentions this etymology together with another version (first mention – Marstrander 1919), according to which werit(e)- is connected to Lat. vereor ‘show respect, fear, to fear’. De Vaan (2018) reconstructs *wer-ē- ‘to be aware’ for Proto-Italian, and its cognates in Indo-European languages would be: OIr. cóīr, coair ‘full- fledged’, Wel. cyweir ‘prepared’ < Proto-Celt. *ko(m)-wari-; Goth. wars, OIsl. varr, OEng. wœr- ‘accurate, attentive’ (Proto-Germ. *wara-), Goth. warei ‘sly’, OEng. waru, OHGerm. wara ‘attention’. In PIE, accordingly, the form *uer-eh1- ‘notice, have importance’ might be reconstructed. Both etymologies can be combined by proposing a reconstruction: *uer-eh1- + suffix *deh1- > Proto-Hitt. *werē-dē- ‘put in a terrible position, terrify’. """,внимание - опасаться 5
"[two → to doubt, to be of two minds] → to be surprised, to be frightened, fear → to be afraid",fear,"fear, reverence","PLuwian *du̯ai̯a- ‘to fear’; PA*du̯ói̯-/du̯i-´ ‘to fear’, Мог ли быть переход  *dw- > *tw- > kw- ","PIE *du̯ei̯- ‘to get frightened, fear’ ","OAv. duuaēθā- f. ‘threat; Gk. δείδω, δείδιμεν perf. ‘fear’ (Hom.), δεινός adj. ‘fearful, terrible, monstrous’, also ‘awesome, strong, extraordinary’ (Il.+), δειλός adj. ‘cowardly, miserable’ (Il.+), δεῖμα n. ‘fear’ (Il.+), Δεῖμος m. ‘Fear’ (personified, Il.), δέος n. ‘fear, alarm, affright’ (Il.+), ἀ-δεής adj. ‘fearless’ (Il.+); Arm. erkea-/erki- aor. midd. ‘to be afraid’, erknčʻi- pres. ‘to be afraid’, erkiwł sbst. ‘fear'.","to fear, revere; respect; frightened; to worry, to be concerned","CL duwayā-(i) ‘to fear, revere’;  -- /kwaya-(i)/, kwa/i-i(a)-; kuwayanta-; kuwayant(i)-; /kwayada-/, kwa/i-ia-ta-; kuwayata-(i)/kwissa-(i)/, kwa/i-sà-; /kwissant(i)-/, hwa/i-sà-ta-; GK kuwayamma/i- ‘fearful’ https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=1875","k(u)waya- kuwaya-, k(u)wayata- (CL)",,,,,,,,"Puhvel (HED 302)Luw. kuway- < *dway- < * IE *dwey(s)- 'fear', seen in Gk.SeiSco < *d£8foia, Arm. erkneim 'fear', Skt. dvesti 'hate' (oderintdum metuantl; IEW 227-8). With kuwayata- cf. especially Gk. 8ei-voq 'fearsome, formidable'; it can be glossed as Ssivdg elvai (tuk-ma kuwayatallu vs. Iliad 3:172 aidoioq re poi EGGI cpiXe EKvpiSrAvog re), kuwayaralla- < *dwey(e)ro-, matching Lat. dirus and recalling Gk. SeiXog < *dweyelos  with kuwayaralla mema- cf. Lat. dlra precari 'to curse'. Cf. Lye. kb < *dw (kbi [Milyan tbi] < *d\vr- 'two' [same root as *dwey-\], kbatra < *du(g)atra 'daughter') and such general parallels as German epier 'oblique' (vs. Swedish ivcir) or Quark 'curds'(vs. Russian tvorog). Cf. Laroche, BSL 62.1:50 (1967); Ivanov, Etimologija 1983 164-5 (1985).Superseded connections involved Skt. cetati 'pay attention' (Cop,Ling. 1:61 [1955]), cayati 'respect', Gk. Tico'rever^ (H. C. Melchert,Studies in Hit lite Historical Phonology 164 [1984]; Studies in memory of W.Cowgill 188 [1987]), thus essentially IE **Vv- (IEW636-7).PLuwian *du̯ai̯a- ‘to fear’; PIE - OAv. duuaēθā- f. ‘threat; Gk. δείδω, δείδιμεν perf. ‘fear’ (Hom.), δεινός adj. ‘fearful, terrible, monstrous’, also ‘awesome, strong, extraordinary’ (Il.+), δειλός adj. ‘cowardly, miserable’ (Il.+), δεῖμα n. ‘fear’ (Il.+), Δεῖμος m. ‘Fear’ (personified, Il.), δέος n. ‘fear, alarm, affright’ (Il.+), ἀ-δεής adj. ‘fearless’ (Il.+); Arm. erkea-/erki- aor. midd. ‘to be afraid’, erknčʻi- pres. ‘to be afraid’, erkiwł sbst. ‘fear'.           eDiAna (Sasseville): ""Finally, there is also the possibility of relating *du̯ei̯- ‘to get frightened, fear’ and/or *du̯ei̯s- ‘to hate, be hostile’ to PIE *du̯o/i- ‘two(fold)’. Cf., e.g., Watkins 2011a:22 s.v. dwei-, who therefore posits an original meaning *‘to be in doubt, be of two minds’ for *du̯ei̯- (cf. also EIEC:198, EWAia I:770f., EDIV:82).""                   The acknowledged sound change *dw- > *tw- > kw- (Laroche 1967a:50) did not happened in the Istanuwa Luwian. ","Зафиксировано два перехода ""два - сомневаться"" ( Zweifel нем, dubium - лат) и 2 сомневаться - удивляться- Khmer и mandarin chineese) "
"to be crazed with fear, to be terrified, to hate → to be terrified → terror → terrifying, fearsome / formidable",,terror,PA *h2tug-,PIE *h2teu̯g-,"Gk. (aor. inf.) d6m(o)ao0a\ 'be wroth""( Одиссей) , Lat. odium 'hatred1, Arm. ateam 'I hate',ateli 'hateful, terrible', OB atol, ON atall Tierce, terrible' ","ужас; terror, terrified, terrifying",,hatuk-,,,,,,,,"Puhvel HED 275The most plausible connection for hatuk- (since Gotze — Pedersen,MS 50-1 ) has been with Gk. (aor. inf.) d6m(o)ao0a\ 'be wroth""and its probable cognates Lat. odium 'hatred1, Arm. ateam 'I hate',ateli 'hateful, terrible', OB atol, ON atall Tierce, terrible' (/£W/773),to which Tischler (KZ 92:108-11 [1978]) added Crimean Gothicatochta (glossed by Lat. malum) as a strong-declension nom.-ace.sg. neut. from an *atugs < IE *odu-ko-  Kloekhorst 336 PIE *h2téug-ti / *h2tug-énti .The generally accepted etymology is the one first suggested by Benveniste (1937:
497), who connected atuka/i- with Gr. 46 ‘to be distraught from fear, to be terrified’ < *h2tug-, which semantically is convincing indeed. The formal aspect of this etymology is more complicated however. If Hitt. atuk- indeed reflects *h2tug-, it would mean that the initial cluster *h2t- is reflected as Hitt. a-tV- and not **a-at-tV-, as one could have expected. To my knowledge, there are no other examples of such an reflex in Hittite (the often cited parallel apuš- ‘penis’ < *h3pus- is incorrect as the stem actually is pša(šš)- (q.v.), which denotes ‘shin-bone’ and not ‘penis’). On the contrary, forms like appeššar ‘limb’ < *h2p-ésr, attant-clever’ < *h2t-ent- or appanzi ‘they seize’ < *h1penti seem to show that initial clusters /Hp-/, /Ht-/ and /p-/ are spelled with a geminate stop. Nevertheless, all hese forms belong to ablauting verbs which could have caused restitution of the voiceless stop. So, I would like to propose that in *h2tug- the initial cluster *h2t- regularly lenited to Hitt. /Hd-/, spelled a-tV-, whereas in forms that show *HT- as a zero grade of
*HeT- the fortis stop *T was restored, which yielded initial clusters /HT-/ and /T-/,spelled a-aT-TV- or aT-TV-.Couvreur (1937: 147) further connected atuk-zi and Gr. 46  with Skt. tuj- ‘tothrust’. Although at first sight this connection is semantically problematic, forms like tujyáte ‘he is put to panic’ may show that this connection is possible. Puhvel (l.c.) dismisses the etymological connection with Gr. 46(without argumentation) and connects atuk-zi with Gr. /04() ‘to be wroth against, to hate’. As this word is connected with Lat. odium ‘to hate’ (from PIE *h3ed-), it must in his view be analysed as a suffixed form *h3ed-u- or *h3d-u-. This does not fit the fact that Hitt. hatuk- clearly functions as a monosyllabic root. Moreover, if the preform were *h3d-u-, the initial *h3 would regularly drop in Hittite before a stop (cf. Kloekhorst 2006b)."," в гагаузском языке глагол ""злиться"" образован от именной основы ""сумасшедший"""
"life, strength → strongly, intensely → terribly (frighteningly + attacking) – reverse semantic shift??",,terror,PA *hatt-,,,"terribly, vigorously","(“*464”)ha-tà-ma, /hadamma/ cognate to hatamma(i), see Yakubovich; HLuw. word /had(a)ra(/i)-/ ‘health’ spelled ha-tà+ra/i- or ha-IUSTITIA+RA/I;  Luw. ḫattul-aḫ-it- n. ‘health’ (it occurs in the KARATEPE 1 bilingual inscription and equates with Phoenician ḥym ‘life’)",ḫattul-ā-tar ‘health’,,,,,,,,"eDiAna: If the word should indeed turn out to be related to /had(a)ra(/i)-/ ‘life’, a meaning such as ‘vigorously’ would seem indicated.; Puhvel (HED H:279) connects the root ḫatt- with semantics pertaining to health with the one of Hitt. ḫattant- ‘intelligent’ (and Hitt. ḫattātar ‘wisdom’, which had tentatively been connected to the root of ‘piercing’ (see CLuw. *ḫatt- ‘to pierce’) by Sommer & Falkenstein 1938a:97-100 and Čop 1966-1968a:173f., who all provide typological parallels (accepted by EDHIL:333). [+] Semantically, speaking nothing prevents from connecting the root ḫatt- ‘health’ with the one of ḫatt- ‘intelligence, knowledge’ (and thus to ḫatt- ‘pierce’), although this might seem a bit too gratuitous. abatti=ba=wa=tta   zas  Karkamisizzas  Tarhunzas  hadamma  tarpintu

aba-  ba  wa  tta  za-  Karkamisizza-  Tarhunt-  hadamma  tarp(a)i- (di)

that  but  (demarcational ptcl.)  (locative ptcl.)  this  of Carchemish (GN)  Tarhunt (DN)  terribly  to attack, trample

PRO pron_adj  0 cl  0 cl  0 cl  PRO pron_adj  A  N common  0 ton  V
dat sg        nom sg common  nom sg common  nom sg    fin imper act 3p pl",в 26 языках переход fearfull - very
"to turn one’s back → to be afraid, to be frightened",,"fear, reverence",PA  *nóh2-/nh2(-u)-,PIE *neh2-,"OIr. nar ‘noble, modest’, Gk. νῷτον ‘back’ and Lat. natis ‘buttocks’",to fear; fear; terror; terrified; to be of concern; fearsome,"/nahhassa-(i)/, (COR)na-ha-sa5-; /nahh(i)-/, (“COR”)na-hi-; /nahhutt(i)-/, na-hu-ti-; */nahh(uw)a-(i)/; naḫḫuwašša/i- ","nāḫ-/naḫḫ-(i)- 'to fear' , HUS; naḫḫuwa- 'anxiety' (luw) našaratt- (c.) ‘fear,",naḫḫir ??? 481,,,,,,," PIE *nóh2-ei, nh2énti, *neh2-sr  Molina For nāḫḫ- it is customary to reconstruct PIE *neh2-. Keeping in mind that nāḫḫ- and its derivative naḫšaratt-, as well as OIr. nar ‘noble, modest’ coordinate with Gk. νῷτον ‘back’ and Lat. natis ‘buttocks’, Kölligan (2020: 152) suggests that PIE. *neh2- meant ‘to turn (back)’. Now, νῷτον would correlate with the acrostatic paradigm: *nóh2-t-/neh2-t- ‘turning (itr.)’, and natis – amphikinetic one (which can be derived from the acrostatic noun) nom. *neh2-ot-s, gen. *nh2-t-es, loc.*nh2-et-I ‘at the back’, vel. sim. Thus, the back appears to be the same body part that turns 
from the interlocutor, same as in Lat. dorsum (see Kölligan 2020:146f for typological parallels of semantic transitions ‘to turn one’s back > to fear, to be scared’).",
a ball (made from a cut-off piece?) → a scarecrow → to be afraid — development within the Hittite language,,"fear, tremble","PHitt. ku̯er-/kur 'cut' (Hitt.) либо звукоподражание (ономатопия), с удвоением корня",,the similar comparison Arm.kosfkocjel- 'smash',,,kurkuriye-,,,,,,,,"Puhvel 269 Giiterbock (Documentum Otten 115-9J established kurkuriya- as a verbum dicendi (or at least exprimendi), freeing it from erroneous root-derivation from kuer- 'cut' and a habitual rendering as 'mutilate'; his meaning 'intimidation' is cogent, although he did not derive it from kurkura- (leaving the latter [possibly as 'clew'] apart and unintegrated).     Molina: derived of kurkura- (c.) ‘scarecrow’ (moreover, there is also a double reduplication kurkurakurkurai-!). Tischler (HEG K:652): kurkura- <-- kuer-/kur- 'cut', but Guterbok, and later Puhvel called it erroneus.","
"
